tensor(143.8561, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8562, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8563, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8563, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8564, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8564, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8564, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8565, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8566, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8567, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8568, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8569, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8569, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8570, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8571, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8571, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8571, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8572, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8572, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8573, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8573, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8573, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8574, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8574, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8574, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8574, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8575, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8575, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8576, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8576, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8576, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8577, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8577, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8577, device='cuda:0', grad_fn=<MeanBackward0>)
