tensor(143.8499, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8499, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8499, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8498, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8498, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8498, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8498, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8497, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8497, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8497, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8497, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8497, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8497, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8496, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8496, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8496, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8496, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8496, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8495, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8495, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8495, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8495, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8494, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8494, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8494, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8494, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8494, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8493, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8493, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8493, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8493, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8493, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8493, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8493, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8492, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8492, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8492, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8492, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8492, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8491, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8491, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8491, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8491, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8491, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8490, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8490, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8490, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8490, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8490, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8490, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8489, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8489, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8489, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8489, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8489, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8489, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8488, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8488, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(143.8488, device='cuda:0', grad_fn=<MeanBackward0>)
